stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,coordonnees_geo,nom_arrondissement_communes,code_insee_commune,station_opening_hours
12111,Claude Decaen - Cannebière,OUI,45,42,3,0,3,OUI,OUI,2026-02-07T22:04:11+00:00,"{'lon': 2.397253782195704, 'lat': 48.83761417037952}",Paris,75056,
8034,Berri - Haussmann,OUI,49,39,9,3,6,OUI,OUI,2026-02-07T22:04:02+00:00,"{'lon': 2.3082953318953514, 'lat': 48.874746047357135}",Paris,75056,
19043,Delphine Seyrig - Général Leclerc,OUI,53,29,23,11,12,OUI,OUI,2026-02-07T22:01:29+00:00,"{'lon': 2.39790290594101, 'lat': 48.893923963057865}",Pantin,93055,
11047,Amelot - Saint-Sébastien,OUI,30,1,28,17,11,OUI,OUI,2026-02-07T22:03:55+00:00,"{'lon': 2.3677996181077, 'lat': 48.861142162761}",Paris,75056,
16108,Sablons - Georges Mandel,OUI,38,34,4,2,2,OUI,OUI,2026-02-07T22:02:23+00:00,"{'lon': 2.28189, 'lat': 48.863875}",Paris,75056,
5032,Panthéon - Valette,OUI,51,45,4,2,2,OUI,OUI,2026-02-07T22:03:53+00:00,"{'lon': 2.3464982619671, 'lat': 48.847020571652}",Paris,75056,
17030,Pereire - Rennequin,OUI,23,8,15,13,2,OUI,OUI,2026-02-07T22:02:55+00:00,"{'lon': 2.2952447086572647, 'lat': 48.88364782887555}",Paris,75056,
18107,Chartres - La Charbonnière,OUI,34,31,3,1,2,OUI,OUI,2026-02-07T22:03:30+00:00,"{'lon': 2.3534657, 'lat': 48.8847601}",Paris,75056,
6006,Notre-Dame-des-Champs - Stanislas,OUI,19,12,6,0,6,OUI,OUI,2026-02-07T22:03:45+00:00,"{'lon': 2.329337755887181, 'lat': 48.84479928858768}",Paris,75056,
15067,Desaix - Edgar Faure,OUI,12,1,11,10,1,OUI,OUI,2026-02-07T22:00:46+00:00,"{'lon': 2.293077029857222, 'lat': 48.852804604940296}",Paris,75056,
12128,Pyramide - Ecole du Breuil,OUI,34,33,1,1,0,OUI,OUI,2026-02-07T21:57:16+00:00,"{'lon': 2.4586871266365056, 'lat': 48.82237977153955}",Paris,75056,
11027,Saint-Ambroise - Parmentier,OUI,38,13,23,12,11,OUI,OUI,2026-02-07T22:00:47+00:00,"{'lon': 2.3772348091006, 'lat': 48.862147844548}",Paris,75056,
31022,Mairie de Montreuil,OUI,52,31,19,3,16,OUI,OUI,2026-02-07T22:02:57+00:00,"{'lon': 2.440614402294159, 'lat': 48.86131452758348}",Montreuil,93048,
8010,Liège - Moscou,OUI,17,13,4,1,3,OUI,OUI,2026-02-07T22:04:15+00:00,"{'lon': 2.3264628, 'lat': 48.8795431}",Paris,75056,
46002,Rouget de Lisle,OUI,35,21,12,7,5,OUI,OUI,2026-02-07T22:01:43+00:00,"{'lon': 2.4071189761161804, 'lat': 48.764615483395254}",Choisy-le-Roi,94022,
10016,Récollets - Square Villemin,OUI,17,8,8,7,1,OUI,OUI,2026-02-07T22:04:13+00:00,"{'lon': 2.359801238597928, 'lat': 48.875034655883944}",Paris,75056,
41302,Charles de Gaulle - Beauté,OUI,49,40,9,3,6,OUI,OUI,2026-02-07T22:04:27+00:00,"{'lon': 2.479562651149885, 'lat': 48.83649602312711}",Nogent-sur-Marne,94052,
31009,Place Du Général De Gaulle,OUI,26,12,14,1,13,OUI,OUI,2026-02-07T22:01:37+00:00,"{'lon': 2.4329931, 'lat': 48.8687591}",Montreuil,93048,
14020,Cimetière de Montrouge,OUI,58,52,6,2,4,OUI,OUI,2026-02-07T22:01:02+00:00,"{'lon': 2.3215785772007, 'lat': 48.821466904768}",Paris,75056,
33017,Anatole France - President Roosevelt,OUI,29,14,14,8,6,OUI,OUI,2026-02-07T22:03:27+00:00,"{'lon': 2.3814103, 'lat': 48.9155156}",Aubervilliers,93001,
18011,Pajol - Place Herbert,OUI,39,34,4,2,2,OUI,OUI,2026-02-07T22:03:45+00:00,"{'lon': 2.3635598, 'lat': 48.8927825}",Paris,75056,
15042,Henry Farman,OUI,16,3,13,12,1,OUI,OUI,2026-02-07T22:04:30+00:00,"{'lon': 2.2713854536414146, 'lat': 48.83372430280548}",Paris,75056,
33102,Gabriel Péri - Francisco Ferrer,OUI,18,8,8,2,6,OUI,OUI,2026-02-07T21:57:33+00:00,"{'lon': 2.407338917255402, 'lat': 48.88633710236977}",Le Pré-Saint-Gervais,93061,
43008,Fontenay - Libération,OUI,25,12,9,3,6,OUI,OUI,2026-02-07T21:59:23+00:00,"{'lon': 2.4451419711113, 'lat': 48.847803063647}",Vincennes,94080,
42706,Roger Salengro - Fontainebleau,OUI,25,7,16,3,13,OUI,OUI,2026-02-07T22:04:34+00:00,"{'lon': 2.3611663654447, 'lat': 48.814548697325}",Le Kremlin-Bicêtre,94043,
19101,Square Simon Bolivar,OUI,24,20,3,0,3,OUI,OUI,2026-02-07T21:55:11+00:00,"{'lon': 2.3826304078102, 'lat': 48.875089888322}",Paris,75056,
21212,Marne - Germain Dardan,OUI,22,20,2,0,2,OUI,OUI,2026-02-07T22:00:43+00:00,"{'lon': 2.3035024699104, 'lat': 48.81217465201}",Montrouge,92049,
17204,Paul Bodin - Clichy,OUI,33,11,22,20,2,OUI,OUI,2026-02-07T22:00:05+00:00,"{'lon': 2.3171403311203, 'lat': 48.892594758409}",Paris,75056,
44006,Concorde - Stalingrad,OUI,35,26,8,4,4,OUI,OUI,2026-02-07T22:04:44+00:00,"{'lon': 2.3821302, 'lat': 48.7985844}",Vitry-sur-Seine,94081,
21312,Lucie Aubrac - Fort,OUI,30,29,1,0,1,OUI,OUI,2026-02-07T22:00:24+00:00,"{'lon': 2.271184623241425, 'lat': 48.818144834008976}",Issy-les-Moulineaux,92040,
19120,Carducci - Place Hannah Arendt,OUI,27,23,4,1,3,OUI,OUI,2026-02-07T21:58:48+00:00,"{'lon': 2.3860743641853337, 'lat': 48.877436681515796}",Paris,75056,
8017,Rocher - Laborde,OUI,65,43,22,20,2,OUI,OUI,2026-02-07T22:02:01+00:00,"{'lon': 2.322616316378116, 'lat': 48.87590240712654}",Paris,75056,
20042,Pyrénées - Emmery,OUI,40,37,1,0,1,OUI,OUI,2026-02-07T22:04:44+00:00,"{'lon': 2.3918598091484, 'lat': 48.87202880542}",Paris,75056,
15054,Lecourbe - Jean Maridor,OUI,19,5,14,13,1,OUI,OUI,2026-02-07T22:03:42+00:00,"{'lon': 2.2877392172813416, 'lat': 48.83796366147599}",Paris,75056,
